center_code,sido,sigungu,center_name,address,tel
063,부산,금정구,스포원(금정),부산광역시 금정구 체육공원로399번길 324 (두구동) 스포원파크 테니경기장 센터코트 1층,051-550-1631
009,부산,남구,남구(부산),"부산광역시 남구 백운포로 108, (용호동) 남구국민체육센터 2관 2층 ( 남구체력인증센터 )",051-626-8215
056,부산,사상구,사상,부산광역시 사상구 가야대로 196번길 51(학장동) 사상구국민체육센터 3층 사상체력인증센터,051-326-0100
039,부산,사하구,사하,부산광역시 사하구 감천로 68 (감천동) 사하구국민체육센터 3층 사하체력인증센터,051-202-3500
098,부산,연제구,연제,부산광역시 연제구 법원남로9번길 17 (거제동) 동해선 거제역 2층 연제체력인증센터,051-710-7412
010,서울,성동구,성동,서울특별시 성동구 왕십리로5길 3 (성수동1가) 공공복합청사 4층 성동체력인증센터,02-2286-7190
030,서울,송파구,KSPO송파,서울특별시 송파구 올림픽로 424 (방이동) 평화의광장 편익동A-1,02-1644-7110
050,서울,송파구,KSPO송파(출장A),서울특별시 송파구 올림픽로 424 (방이동)평화의광장,02-410-1014
085,서울,송파구,KSPO송파별관(어르신),서울특별시 송파구 올림픽로 448 (방이동)서울올림픽파크텔3층 KSPO송파체력인증센터(별관),02-410-2300
086,서울,중구,중구(서울),서울특별시 중구 퇴계로 387 (흥인동) 충무스포츠센터 4층 중구 체력인증센터,02-2280-8500
043,세종,세종시,세종,세종특별자치시 도움3로 125 (종촌동) 종촌복합커뮤니티센터 지하1층 세종체력인증센터,044-868-8323
152,울산,남구,울산,울산광역시 남구 웅촌로 1342 (무거동)문수체육관 내,052-247-7330
101,인천,미추홀구,미추홀,인천광역시 미추홀구 경인로42번길 57 (숭의동) 3층 체력인증센터,032-888-1102
087,인천,제물포구,인천광역시,인천광역시 제물포구 염전로 30 (송림동) 송림체육관 1층 인천동구체력인증센터,032-456-2226
036,전남광주,곡성군,곡성,전남광주통합특별시 곡성군 곡성읍 곡성로 855 반다비 체육센터 1층,061-363-4337
054,전남광주,나주시,나주,전남광주통합특별시 나주시 동신대길 113 동신대학교 체육관 2층(202호),061-330-3388
047,전남광주,동구,동구(광주),전남광주통합특별시 동구 조선대2길 11 (서석동)조선대학교 체육대학 5층 동구(광주)체력인증센터,062-230-7419
023,전남광주,목포시,목포,전남광주통합특별시 목포시 내화마을길 89 (대양동) 목포국제축구센터내 다목적체육관 1층 목포체력인증센터,061-278-0155
097,전남광주,무안군,무안,전남광주통합특별시 무안군 청계면 영산로 1666 국립목포대학교 도림캠퍼스 플라자60 1층,061-450-2387
064,전남광주,북구,북구(광주),전남광주통합특별시 북구 첨단연신로29번길 15 (연제동) 북구종합체육관 1층 북구체력인증센터 ('북구종합체육관'을 검색하고 오시면 더 정확합니다.),062-716-6100
090,전남광주,서구,KSPO광주,전남광주통합특별시 서구 금화로 240 (풍암동) 광주월드컵경기장 2층 KSPO광주체력인증센터,062-710-7336
091,전남광주,서구,KSPO광주(출장),전남광주통합특별시 서구 금화로 240 (풍암동) 광주월드컵경기장 2층 KSPO광주체력인증센터,062-710-7336
104,전남광주,서구,서구(광주),전남광주통합특별시 서구 경열로 33 (농성동) 서구보건소 4층,062-350-4566
024,전남광주,순천시,순천,전남광주통합특별시 순천시 중앙로 232 (석현동) 문화건강센터 수영장 3층,061-749-6448
081,전남광주,신안군,신안,전남광주통합특별시 신안군 압해읍 복룡로 120 신안군민체육관 1층,061-240-8540
082,전남광주,영암군,영암,전남광주통합특별시 영암군 삼호읍 녹색로 1113 학생복지회관 3층 세한대학교 복지회관 3층 영암체력인증센터,061-469-1134
066,전북,군산시,군산,전라북도 군산시 번영로 281 (사정동) 군산체력인증센터 1층,063-454-8761
029,전북,남원시,남원,전북특별자치도 남원시 충정로 341 (월락동)실내체육관 1층 뒤편 국민체력100 남원체력인증센터,063-633-7330
078,전북,익산시,익산,전라북도 익산시 무왕로 1397 (부송동) 익산종합운동장 내 동문 1번 1층,063-838-8983
046,전북,전주시 완산구,전주,전라북도 전주시 완산구 백제대로 310 (중화산동2가) 화산체육관 2층 전주체력인증센터,063-221-7330
092,전북,정읍시,정읍,전북특별자치도 정읍시 서부산업도로 138-5 (상평동)정읍체육트레이닝센터 1층,063-535-0603
033,제주,제주시,제주,제주특별자치도 제주시 서광로2길 20 제주종합경기장 전천후육상경기장 2층,064-759-8795
068,충남,계룡시,계룡,충청남도 계룡시 엄사면 문화1로 25 (1층) 계룡체력인증센터,042-840-6302
150,충남,논산시,논산,충청남도 논산시 대학로 121 (내동)짐나지움 2층 논산체력인증센터,041-730-5374
070,충남,아산시,KSPO아산,충청남도 아산시 남부로 370-24 (풍기동) 2층 KSPO아산체력인증센터,041-547-7336
071,충남,아산시,KSPO아산(출장),충청남도 아산시 남부로 370-24 (풍기동) 2층 아산체력인증센터,041-547-7336
044,충남,천안시 서북구,천안,충청남도 천안시 서북구 번영로 208 (백석동) 천안종합운동장 내 천안체력인증센터(구 역도장),041-622-9348
076,충북,보은군,보은,충청북도 보은군 보은읍 군청길 71 결초보은체육관 1층 보은 체력인증센터,043-544-9956
027,충북,영동군,영동,충청북도 영동군 영동읍 영동황간로 154 1층 영동체력인증센터,043-744-0077
061,충북,증평군,증평,충청북도 증평군 증평읍 송산로 18 증평생활체육관 2층,043-835-4171
077,충북,진천군,진천,충청북도 진천군 초평면 용정길 6 진천체력인증센터 (초평생활체육공원),043-534-5689
015,충북,청주시 흥덕구,청주,청주시 서원구 사직대로 229 (종합운동장 북3문) 1층 청주체력인증센터,043-267-7330
060,충북,충주시,충주,충청북도 충주시 대림로 85 (호암동) 충주종합운동장 GATE 3 충주체력인증센터,043-852-7330
